gene,log2FoldChange
thrA,-3.4378581180098995
thrB,-3.1460595593767913
thrC,-3.358267961861816
mokC,1.557904466038339
sokC,1.8531922573698574
ispH,-1.1517548216109335
dapB,-1.199827286657095
carA,-3.8476672377786727
carB,-4.523688894557554
caiF,-3.0513314410567
folA,2.4854598777443684
rapA,-1.6303832538598906
yabI,1.9903731098719282
leuD,-1.6441414514819588
leuC,-2.307981633919256
leuB,-2.328833359578763
leuA,-2.67643262703754
leuL,-2.5790478641976056
ilvI,-3.055127149506835
ilvH,-3.109296848764348
murF,-1.7233674191447712
mraY,-1.3895925314697146
murC,-1.137019802770481
secA,-1.8402590441595208
aceE,-2.7033399794480237
aceF,-2.7786188823703815
lpd,-1.6322817758825925
speD,-2.4808260524453365
speE,-1.9471893000938694
cueO,-1.4084042133352048
can,-1.2855583779593978
yadE,2.737185717396747
sfsA,1.4414705364712828
fhuA,-2.2477330798058146
fhuC,-2.1610354996054206
fhuD,-2.3154816114296293
hemL,2.304890512726526
clcA,2.9666697515383946
erpA,1.5068201285033316
yadS,1.7253482475795174
degP,1.3926527619780933
dapD,-1.9088785832208532
map,-1.5090652497682946
tsf,-1.471535964089226
pyrH,-1.5453615421101214
cdsA,1.26917231443191
lpxB,1.1338785637894662
proS,-1.6486869019143917
metQ,-1.896925163144912
ileV,3.6255494517928892
alaV,4.235947628821729
aspU,1.6643967716824777
dkgB,1.6526519411002472
mltD,1.7155149812832433
aspV,1.6643967716824777
ivy,1.1617010901211917
dinJ,1.6597360068249059
pepD,-1.658049150138099
phoE,2.481107384426302
ykfI,2.551049107601998
yafW,2.734806151658425
ykfH,2.8244666526534155
ykfG,2.656505889111837
yafX,2.1555741978816596
ykfF,1.8819977342021834
ykfB,-1.784330377383646
ykfA,1.6941468370500492
yagP,2.7613473093026633
paoD,3.100152815048642
ykgJ,1.5352142262723811
ecpB,2.5685137170413097
ecpA,2.251307715073778
ecpR,4.494573534794308
pdeL,2.3267075428083315
yahH,-1.3769215358943974
yahO,2.0825651530375513
prpB,3.2402157401372875
